fritzDiameter departureDiameter recCont advCont staticCont
0.0005022321428571418  0.0009486607142857135  6    8   8
0.0037388392857142824  0.00234375             10   66  52
0.003125000000000001   0.002232142857142858   38   43  44
0.020033482142857145   0.011886160714285717   39   53  55
0.003962053571428576   0.002455357142857145   48   58  55
0.007756696428571435   0.0022321428571428588  10   110 106
0.008872767857142857   0.0061383928571428535  111  129 123
0.00870535714285715    0.006529017857142863   122  130 120
